JobId,SessionId,Status,Reason,Created,Completed,Program,Name,Service,Instance,Tags,Usage (seconds)
cq0escx7z1hg008e2fgg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T14:12:03.305752Z,2024-02-05T14:13:52.482Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0ergjhbttg008j71bg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T14:10:10.221498Z,2024-02-05T14:11:59.125Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0epqt7z1hg008e2ffg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T14:06:23.556222Z,2024-02-05T14:10:07.795Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0ejwk28rp0008a4btg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:58:10.927011Z,2024-02-05T14:00:00.489Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0ehzzph3s0008fn750,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:56:15.801376Z,2024-02-05T13:58:05.895Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0eh3cdhsd0008e5scg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:54:21.492712Z,2024-02-05T13:56:11.63Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0eg6rhbttg008j7100,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:52:28.007264Z,2024-02-05T13:54:19.181Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0efad7z1hg008e2f4g,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:50:33.557766Z,2024-02-05T13:52:23.492Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0eee1hbttg008j70yg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:48:40.933694Z,2024-02-05T13:50:30.668Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0edhedhsd0008e5s90,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:46:45.363321Z,2024-02-05T13:48:35.821Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0ecnj28rp0008a4bn0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:44:54.276328Z,2024-02-05T13:46:43.375Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0ebrqdhsd0008e5s80,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:42:58.728686Z,2024-02-05T13:44:49.97Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0eawbdhsd0008e5s7g,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:41:05.931058Z,2024-02-05T13:42:55.725Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0ea087z1hg0088bab0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:39:13.239709Z,2024-02-05T13:41:03.491Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0e93wdhsd0008e5s60,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:37:19.676299Z,2024-02-05T13:39:10.55Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0e83gdhsd0008e5s4g,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:35:11.082766Z,2024-02-05T13:37:16.875Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0e77chbttg008j70pg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:33:17.942921Z,2024-02-05T13:35:08.866Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0e6b1ph3s0008fn6p0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:31:24.276772Z,2024-02-05T13:33:14.247Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0e5exhbttg008j70ng,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:29:31.161364Z,2024-02-05T13:31:20.578Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0e4japh3s0008fn6mg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:27:38.081085Z,2024-02-05T13:29:29.01Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0e3p6d7we00088rc4g,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:25:44.2375Z,2024-02-05T13:27:35.723Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0e2t3d7we00088rc00,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:23:52.110571Z,2024-02-05T13:25:41.918Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0e1xzd7we00088rbxg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:21:59.559382Z,2024-02-05T13:23:49.508Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0e11m28rp0008a4b40,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:20:06.751985Z,2024-02-05T13:21:55.868Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0e04ghbttg008j70e0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:18:10.568945Z,2024-02-05T13:20:01.244Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0dz8dph3s0008fn6dg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:16:17.745765Z,2024-02-05T13:18:08.33Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0dybhph3s0008fn6cg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:14:22.429071Z,2024-02-05T13:16:12.309Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,79
cq0dxfn28rp0008a4b20,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:12:31.032166Z,2024-02-05T13:14:20.677Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0dwm2d7we00088rbv0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:10:40.603142Z,2024-02-05T13:12:28.866Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,79
cq0dvkydhsd0008e5r90,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:08:31.419582Z,2024-02-05T13:10:37.023Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,81
cq0dtpad7we00088rbqg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:06:33.767887Z,2024-02-05T13:08:23.978Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,81
cq0dssqd7we00088rbpg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:04:38.362528Z,2024-02-05T13:06:30.566Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,81
cq0drxvdhsd0008e5r7g,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:02:47.452397Z,2024-02-05T13:04:35.755Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,79
cq0dr08ph3s0008fn65g,cq06xjedhsd0008e55jg,Completed,,2024-02-05T13:00:49.976574Z,2024-02-05T13:02:39.808Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0dq44d7we0008c1sm0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:58:56.661941Z,2024-02-05T13:00:45.941Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0dp7ghbttg008j705g,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:57:02.99157Z,2024-02-05T12:58:53.456Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0dnbxdhsd0008e5r50,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:55:11.41518Z,2024-02-05T12:57:00.892Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0dmesd7we0008c1sh0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:53:15.912542Z,2024-02-05T12:55:08.335Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0dkjyd7we0008c1sf0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:51:23.60813Z,2024-02-05T12:53:13.757Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0djpahbttg008j6zv0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:49:29.936277Z,2024-02-05T12:51:20.621Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0dhtzph3s0008fn5p0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:47:39.434552Z,2024-02-05T12:49:26.92Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0dgz3dhsd0008e5qg0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:45:48.691543Z,2024-02-05T12:47:37.595Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0dg1g28rp0008a4ahg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:43:50.8856Z,2024-02-05T12:45:41.419Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0df5m28rp0008a4agg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:41:58.192117Z,2024-02-05T12:43:49.108Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0de9hd7we0008x29wg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:40:06.157499Z,2024-02-05T12:41:56.112Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0dddddhsd0008e5q70,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:38:13.155714Z,2024-02-05T12:40:03.588Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0dcehd7we0008x29q0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:36:10.520198Z,2024-02-05T12:38:11.041Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,81
cq0dbgp28rp0008a4aag,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:34:10.146108Z,2024-02-05T12:36:02.646Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0daktd7we0008x29pg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:32:15.631105Z,2024-02-05T12:34:07.541Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,81
cq0d9qehbttg008j6z90,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:30:21.297041Z,2024-02-05T12:32:12.117Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0d8bs7z1hg008nh2w0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:27:28.013304Z,2024-02-05T12:29:17.714Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,81
cq0d7f5hbttg008j6z7g,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:25:32.440019Z,2024-02-05T12:27:21.411Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0d6k2ph3s0008fn500,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:23:40.112106Z,2024-02-05T12:25:29.203Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0d5py28rp0008a4a40,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:21:47.20297Z,2024-02-05T12:23:37.009Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,79
cq0d4sk28rp0008a4a3g,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:19:50.165349Z,2024-02-05T12:21:41.453Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0d3xqdhsd0008e5pw0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:17:58.374107Z,2024-02-05T12:19:47.362Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0d31m7z1hg008nh2s0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:16:06.637449Z,2024-02-05T12:17:55.791Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,79
cq0d24028rp0008a49zg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:14:08.562139Z,2024-02-05T12:16:00.165Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0d15wd7we0008x29gg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:12:08.072208Z,2024-02-05T12:14:00.276Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0d09sdhsd0008e5ps0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:10:15.809452Z,2024-02-05T12:12:05.564Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0cze57z1hg008nh2p0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:08:24.587013Z,2024-02-05T12:10:13.97Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0cyhjdhsd0008e5pmg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:06:30.167553Z,2024-02-05T12:08:19.319Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0cxnedhsd0008e5phg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:04:37.550566Z,2024-02-05T12:06:26.497Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0cwsb7z1hg008nh2jg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:02:45.652636Z,2024-02-05T12:04:35.782Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0cvwqph3s0008fn4q0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T12:00:50.491614Z,2024-02-05T12:02:42.458Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0ctwb7z1hg008nh2gg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:58:41.644223Z,2024-02-05T12:00:41.371Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
cq0cszzdhsd0008e5pbg,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:56:47.335137Z,2024-02-05T11:58:38.073Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,81
cq0cs24d7we0008x29a0,cq06xjedhsd0008e55jg,Completed,,2024-02-05T11:54:48.219251Z,2024-02-05T11:56:39.08Z,estimator,,ibm_quebec,pinq-quebec-hub/qai-quantum-algo/default,,80
